2023-02-06 16:02:44+00:00, province: Maskat valiliği, district: ولاية السيب, country: OM
2023-02-06 16:01:45+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:00:45+00:00, province: Ege, district: Περιφέρεια Βόρειου Αιγαίου, country: GR
2023-02-06 15:59:02+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:56:11+00:00, province: Hatay, district: None, country: TR
2023-02-06 15:55:46+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:55:44+00:00, province: Ege, district: Περιφέρεια Βόρειου Αιγαίου, country: GR
2023-02-06 15:54:13+00:00, province: Antalya, district: None, country: TR
2023-02-06 15:53:49+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 15:49:05+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:48:50+00:00, province: Ankara, district: None, country: TR
2023-02-06 15:47:49+00:00, province: Diyarbakır, district: None, country: TR
2023-02-06 15:45:47+00:00, province: New Jersey, district: Atlantic County, country: US
2023-02-06 15:44:29+00:00, province: İzmir, district: None, country: TR
2023-02-06 15:44:11+00:00, province: Bursa, district: None, country: TR
2023-02-06 15:42:16+00:00, province: Adıyaman, district: Adıyaman Merkez, country: TR
2023-02-06 15:42:13+00:00, province: Астана, district: Samux rayonu, country: AZ
2023-02-06 15:39:01+00:00, province: Bitlis, district: None, country: TR
2023-02-06 15:38:10+00:00, province: Ankara, district: None, country: TR
2023-02-06 15:36:17+00:00, province: Tekirdağ, district: None, country: TR
2023-02-06 15:34:21+00:00, province: Hatay, district: None, country: TR
2023-02-06 15:34:00+00:00, province: Bursa, district: None, country: TR
2023-02-06 15:33:21+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 15:31:41+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:30:45+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:28:14+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:25:16+00:00, province: İzmir, district: None, country: TR
2023-02-06 15:23:23+00:00, province: Bursa, district: None, country: TR
2023-02-06 15:20:23+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:19:44+00:00, province: Aydın, district: None, country: TR
2023-02-06 15:16:40+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:04:03+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 15:03:36+00:00, province: Antalya, district: Antalya, country: TR
2023-02-06 15:03:07+00:00, province: İstanbul, district: None, country: TR
2023-02-06 15:02:05+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:57:01+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 14:53:16+00:00, province: Halep Yönetim Bölgesi, district: Afrin Bölgesi, country: SY
2023-02-06 14:52:17+00:00, province: Diyarbakır, district: None, country: TR
2023-02-06 14:47:02+00:00, province: Muğla, district: None, country: TR
